CourseName,University,DifficultyLevel,CourseRating,CourseURL,CourseDescription,Skills
Using Python to Interact with the Operating System,Google,Advanced,4.6,https://www.coursera.org/learn/python-operating-system,"By the end of this course, you�ll be able to manipulate files and processes on your computer�s operating system. You�ll also have learned about regular expressions -- a very powerful tool for processing text files -- and you�ll get practice using the Linux command line on a virtual machine. And, this might feel like a stretch right now, but you�ll also write a program that processes a bunch of errors in an actual log file and then generates a summary file. That�s a super useful skill for IT Specialists to know.  We�ll kick off by exploring how to execute Python locally, and organize and use code across different Python files. We'll then learn how to read and write different types of files, and use subprocesses and input streams. We'll also dive into Bash scripting and regular expressions -- both very powerful tools for anyone working with systems. We'll even touch on automatic testing, which allow us to automate how we check if our code is correct. To finish, we�ll put all this together by using the tools that we�ve acquired to process data and generate automatic reports.  We�ll also explain how to set up your own developer environment in your machine. This is a key step in being able to write and deploy powerful automation tools.",unix  file system  unit testing  regular expression  unix shells  Computer Programming  bash (unix shell)  command-line interface  test automation  Python Programming information-technology support-and-operations
Complex Retrieval Queries in MySQL Workbench,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/complex-retrieval-queries-in-mysql-workbench,"In this intermediate-level course you will use MySQL Workbench to expand your basic SQL query-writing skills with more complex examples and activities. In hands-on activities in MySQL Workbench, you will write and execute SQL queries that retrieve data from multiple tables. In addition, you will generate queries that summarize data and perform calculations. Nested queries and SQL scripting rounds out the course content. While the course concentrates on query writing, you also get a taste of the problem-solving and data analysis efforts required for complex query construction and query results verification.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",relational database  internet  rounding  mysql  analysis  associative entity  Data Analysis  database model  nest  interpretation information-technology data-management
AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,Coursera Project Network,Beginner,5,https://www.coursera.org/learn/python-aws-elastic-beanstalk-web-application,"In this 1-hour long project-based course, you will learn how to create your Python web application & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Flask python framework to create your web application & AWS desktop management console to deploy the web application to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your web application & also, monitoring your AWS servers using Elastic Beanstalk Desktop Management Console.  Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",Python Programming  server log  c dynamic memory allocation  aws elastic beanstalk  web  Type I And Type Ii Errors  file shortcut  .properties  project  web application information-technology cloud-computing
Hosting a Static Website (HTML/CSS/Javascript) in AWS S3,Coursera Project Network,Advanced,4.5,https://www.coursera.org/learn/hosting-static-web-site-aws,"In this one hour project, you will learn how to use Amazon Web Services S3 storage service for hosting a static website (HTML/CSS/Javascript). Many companies and individuals today need a website and most of those don't require complex databases or backends. Amazon Web Services provides a Simple Storage Service S3 Free Tier that can be also used to host a static website with no servers and no complexity.   Many professionals don't know that it is possible to use AWS Simple Storage Service, S3, not only to store objects but also to host a completely static website made in HTML/CSS and Javascript and take advantage of all scalability and availability AWS offers.  Once you're done with this project, you will be able to deploy a static website in any AWS region you want with just a few steps and without huge tech experience.  Note: For this project, you will need an AWS account.",pageable memory  web hosting service  front and back ends  entry point  project mine  download  project  upload  Databases  Risk information-technology cloud-computing
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,Advanced,4.3,https://www.coursera.org/learn/python-plotting,"This course will introduce the learner to information visualization basics, with a focus on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good and bad visualization, and what statistical measures translate into in terms of visualizations. The second week will focus on the technology used to make visualizations in python, matplotlib, and introduce users to best practices when creating basic charts and how to realize design decisions in the framework. The third week will be a tutorial of functionality available in matplotlib, and demonstrate a variety of basic statistical charts helping learners to identify when a particular method is good for a particular problem. The course will end with a discussion of other forms of structuring and visualizing data.   This course should be taken after Introduction to Data Science in Python and before the remainder of the Applied Data Science with Python courses: Applied Machine Learning in Python, Applied Text Mining in Python, and Applied Social Network Analysis in Python.",Data Analysis  Chart  Matplotlib  analysis  Scatter Plot  Computer Programming  Data Visualization  Python Programming  Computer Graphics  Plot (Graphics) data-science data-analysis
Building Cloud Services with the Java Spring Framework,Vanderbilt University,Advanced,4.1,https://www.coursera.org/learn/cloud-services-java-spring-framework,"This MOOC describes by example how to build cloud services via the use of object-oriented design techniques; Java programming language features; Java Servlets, the Java Spring Framework; and cloud computing platforms, such as Amazon Web Services.  Due to the importance of building secure and scalable mobile/cloud platforms, this MOOC will not only show you how to build cloud services, but how to do so securely, scalably, and efficiently. Security and scalability topics will be woven into discussions of cloud service creation so that students learn, from the start, how to create robust cloud services.",spring security  spring  dependency injection  hypertext transfer protocol  Cloud Computing  object-relational mapping  web service  Servlets  web application  spring framework computer-science mobile-and-web-development
Java for Android,Vanderbilt University,Intermediate,4.4,https://www.coursera.org/learn/java-for-android,"This MOOC teaches you how to program core features and classes from the Java programming language that are used in Android, which is the dominant platform for developing and deploying mobile device apps.   In particular, this MOOC covers key Java programming language features that control the flow of execution through an app (such as Java�s various looping constructs and conditional statements), enable access to structured data (such as Java's built-in arrays and common classes in the Java Collections Framework, such as ArrayList and HashMap), group related operations and data into classes and interfaces (such as Java's primitive and user-defined types, fields, methods, generic parameters, and exceptions), customize the behavior of existing classes via inheritance and polymorphism (such as subclassing and overriding virtual methods). Learners will apply these Java features in the context of core Android components (such as Activities and basic UI elements) by applying common tools (such as Android Studio) needed to develop Java programs and useful Android apps.    Learners will work on several hands-on projects throughout the MOOC, i.e., each week will require learners to write solutions to programming assignments that reinforce the material covered in the lecture videos. There will be roughly 4-6 hours of student engagement time per week, including video lectures, quizzes, and programming assignments.",java syntax  java (software platform)  generics in java  software  Android Development  Computer Programming  syntax  java collections framework  Java Programming  android studio computer-science mobile-and-web-development
Introduction to Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/introduction-to-python,"Learning Python gives the programmer a wide variety of career paths to choose from. Python is an open-source (free) programming language that is used in web programming, data science, artificial intelligence, and many scientific applications. Learning Python allows the programmer to focus on solving problems, rather than focusing on syntax. Its relative size and simplified syntax give it an edge over languages like Java and C++, yet the abundance of libraries gives it the power needed to accomplish great things.  In this project you will create a guessing game application that pits the computer against the user. You will create variables, decision constructs, and loops in python to create the game.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Computer Programming  computer program  Python Programming  game programming  c programming  c++  path (variable)  Web Design  web  syntax computer-science software-development
Encryption And Decryption Using C++,Coursera Project Network,Beginner,5,https://www.coursera.org/learn/encryption-and-decrytion-using-cpp,"In this 2-hour long project-based course, you will  (learn basics of cryptography,  build basic encryption application).  we will learn basics of encryption and decryption techniques and gain basic related cryptography  knowledge and by the end of this project you will be able to create an encryption application.    Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",project  Cryptography  project mine  Algorithms  linux security modules  form-based authentication  cipher  perl software  encryption  i-deas computer-science software-development
Python Data Structures,University of Michigan,Conversant,4.8,https://www.coursera.org/learn/python-data,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook �Python for Everybody�.  This course covers Python 3.",dict  Python Programming  python syntax and semantics  Problem Solving  Data Structures  language  Computer Programming  semantics  data type  syntax computer-science software-development
Data Processing Using Python,Nanjing University,Advanced,4.1,https://www.coursera.org/learn/python-data-processing,"This course (The English copy of ""?Python????"" <https://www.coursera.org/learn/hipython/home/welcome>)  is mainly for non-computer majors. It starts with the basic syntax of Python, to how to acquire data in Python locally and from network, to how to present data, then to how to conduct basic and Advanced statistic analysis and visualization of data, and finally to how to design a simple GUI to present and process data, advancing level by level.   This course, as a whole, based on Finance data and through the establishment of popular cases one after another, enables learners to more vividly feel the simplicity, elegance, and robustness of Python. Also, it discusses the fast, convenient and efficient data processing capacity of Python in humanities and social sciences fields like literature, sociology and journalism and science and engineering fields like mathematics and biology, in addition to business fields. Similarly, it may also be flexibly applied into other fields.  The course has been updated. Updates in the new version are :   1) the whole course has moved from Python 2.x to Python 3.x  2) Added manual webpage fetching and parsing. Web API is also added.  3) Improve the content order and enrich details of some content especially for some practice projects.  Note: videos are in Chinese (Simplified) with English subtitles. All other materials are in English.",Computer Programming  Machine Learning  Scipy  java annotation  object-oriented programming  sed  Python Programming  pycharm  Data Structures  Natural Language Processing computer-science software-development
Applied Text Mining in Python,University of Michigan,Advanced,4,https://www.coursera.org/learn/python-text-mining,"This course will introduce the learner to text mining and text manipulation basics. The course begins with an understanding of how text is handled by python, the structure of text both to the machine and to humans, and an overview of the nltk framework for manipulating text. The second week focuses on common manipulation needs, including regular expressions (searching for text), cleaning text, and preparing text for use by machine learning processes. The third week will apply basic natural language processing methods to text, and demonstrate how text classification is accomplished. The final week will explore more Advanced methods for detecting the topics in documents and grouping them by similarity (topic modelling).   This course should be taken after: Introduction to Data Science in Python, Applied Plotting, Charting & Data Representation in Python, and Applied Machine Learning in Python.",language  natural language  Python Programming  natural language toolkit  regular expression  Computer Programming  Natural Language Processing  modeling  Topic Model  text mining data-science data-analysis
Game Theory with Python,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/game-theory-with-python,"In this 2-hour long project-based course, you will learn the game theoretic concepts of Two player Static and Dynamic Games, Pure and Mixed strategy Nash Equilibria for static games (illustrations with unique and multiple solutions), Example of Axelrod tournament. You will be building two player Nash games and analyze them using Python packages Nashpy and Axelrod, especially built for game theoretic analyses. Also, you will gain the understanding of computational mechanisms related to the aforementioned concepts.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",math and logic  mathematical model  physics  Python Programming  game design  models of computation  Game Theory  logic  Strategy  Computer Programming math-and-logic math-and-logic
Advanced Data Structures in Java,University of California San Diego,Intermediate,4.7,https://www.coursera.org/learn/Advanced-data-structures,"How does Google Maps plan the best route for getting around town given current traffic conditions?  How does an internet router forward packets of network traffic to minimize delay?  How does an aid group allocate resources to its affiliated local partners?  To solve such problems, we first represent the key pieces of data in a complex data structure. In this course, you�ll learn about data structures, like graphs, that are fundamental for working with structured real world data.  You will develop, implement, and analyze algorithms for working with this data to solve real world problems.   In addition, as the programs you develop in this course become more complex, we�ll examine what makes for good code and class hierarchy design so that you can not only write correct code, but also share it with other people and maintain it in the future.  The backbone project in this course will be a route planning application.  You will apply the concepts from each Module directly to building an application that allows an autonomous agent (or a human driver!) to navigate its environment.  And as usual we have our different video series to help tie the content back to its importance in the real world and to provide tiered levels of support to meet your personal needs.",graphs  Algorithms  dijkstra's algorithm  graph algorithms  tree traversal  Graph Theory  search algorithm  java (software platform)  Data Structures  graph traversal computer-science algorithms
Introduction to Javascript: The Basics,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/intro-to-javascript-the-basics,"In this 2h 10m long project-based course, you will learn how to create dynamic web pages using Javascript. Javascript is one of the most popular scripting languages used in front-end, back-end web applications and hybrid mobile applications. It can be used to add interactivity to static HTML pages. It also could be used at the back end of modern web applications. Moreover, it is the core of many modern frameworks used to build hybrid mobile web applications. Learning Javascript opens up a huge variety of promising career options.    Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",mobile app  Javascript  web application  document object model  html  Web Development  scripting language  internet of things  web  front and back ends computer-science mobile-and-web-development
Learn to Teach Java:  ArrayLists and 2D Arrays,University of California San Diego,Advanced,5,https://www.coursera.org/learn/teach-java-arraylist-2d-arrays,"Learn to program with ArrayLists and 2-D Arrays in Java, and prepare to teach others using the free, online interactive CS Awesome textbook.  In this course for teachers we'll guide you both in learning Java concepts and skills but also in how to effectively teach those to your students.  This course will support you in teaching the Advanced Placement Computer Science A course or a similar introductory university-level programming course.  We'll cover the  Java concepts of ArrayLists and 2-dimensional arrays, as covered in the APCS A Units 7 and 8.  Each topic will begin by relating Java to block-based programming languages and then provide video overviews of CS Awesome content along with additional materials to supplement learning for your students.    You'll engage with additional materials to support your teaching including ""deep dive"" classroom discussion questions, assessment overviews, code tracing and problem solving skills for your students, including preparation for free response coding questions.",test case  method (computer programming)  approximation error  sorting  market segmentation  numbers (spreadsheet)  code segment  evaluation  resource  arrays social-sciences education
"Python Project: pillow, tesseract, and opencv",University of Michigan,Conversant,3.4,https://www.coursera.org/learn/python-project,"This course will walk you through a hands-on project suitable for a portfolio. You will be introduced to third-party APIs and will be shown how to manipulate images using the Python imaging library (pillow), how to apply optical character recognition to images to recognize text (tesseract and py-tesseract), and how to identify faces in images using the popular opencv library. By the end of the course you will have worked with three different libraries available for Python 3 to create a real-world data-analysis project.  The course is best-suited for learners who have taken the first four courses of the Python 3 Programming Specialization. Learners who already have Python programming skills but want to practice with a hands-on, real-world data-analysis project can also benefit from this course.  This is the fifth and final course in the Python 3 Programming Specialization.",Computer Vision  opencv  optical character recognition  image file formats  software  image processing  python libraries  tesseract (software)  Computer Programming  Python Programming computer-science software-development
Programming for Everybody (Getting Started with Python),University of Michigan,Conversant,4.8,https://www.coursera.org/learn/python,"This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook �Python for Everybody�.  Once a student completes this course, they will be ready to take more Advanced programming courses. This course covers Python 3.",syntax  language  semantics  Computer Programming  euler's totient function  for loop  python syntax and semantics  while loop  basic programming language  Python Programming computer-science software-development
Class Creation in Object Oriented Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/class-creation-in-object-oriented-python,"Python is an Object Oriented Language. Object Oriented languages allow the developer to think in terms of real-world objects, such as people, cars, and animals for example. In the procedural realm, developers think in terms of functions (or procedures) and the data those functions act on. By using objects, the data can be combined with functionality � a person has eye color, an animal has behavior etc. This can lead to programs that are easier to understand, maintain, and reuse.  In this course, you will create a Python application in which you will create a class definition, create a constructor for the class, create object instances of the class, and sort a list of objects created from a file.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",objective-c  crt0  c++  ordered pair  Python Programming  sorting  Computer Programming  class (computer programming)  euler's totient function  object-oriented programming computer-science software-development
Front-End JavaScript Frameworks: Angular,The Hong Kong University of Science and Technology,Advanced,4.6,https://www.coursera.org/learn/angular,"This course concentrates mainly on Javascript based front-end frameworks, and in particular the Angular framework (Currently Ver. 6.x). This course will use Typescript for developing Angular application. Typescript features will be introduced in the context of Angular as part of the exercises. You will also get an introduction to the use of Angular Material and Angular Flex-Layout for responsive UI design. You will be introduced to various aspects of Angular including components, directives and services. You will learn about data binding, Angular router and its use for developing single-page applications. You will also learn about designing both template-driven forms and reactive forms. A quick introduction to Observables, reactive programming and RxJS in the context of Angular is included. You will then learn about Angular support for client-server communication through the HTTP client and the use of REST API on the server side. A quick tour through Angular animation support and Angular testing rounds off the course. You must have either completed the previous course in the specialization on Bootstrap 4, or have a working knowledge of front end web-UI frameworks to be able to navigate this course. Also a good working knowledge of JavaScript, especially ES 5 is strongly recommended.  At the end of this course you will:  - Be familiar with client-side Javascript frameworks and the Angular framework - Be able to implement single page applications in Angular - Be able to use various Angular features including directives, components and services - Be able to implement a functional front-end web application using Angular - Be able to use Angular Material and Angular Flex-Layout for designing responsive Angular applications - Be able to use Observables and RxJS in the context of Angular applications",Front-End Web Development  materials  Web Development  reactive programming  Angular  Computer Programming  typescript  web  angularjs  Javascript computer-science mobile-and-web-development
Create Power-Ups and Obstacles with C# in Unity,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/create-power-ups-obstacles-c-sharp-unity,"In this project-based course we will create a science-fiction scene with damaging fire, a healing zone, and some player-enhancing pick-ups to help a player get around obstacles.  You'll learn how to write C# scripts that will manage the player's health points, how to use Colliders as Triggers to create obstacles and helpers for a player, about proximity-activated mechanics, and about creating an in-game pick-up/power-up.",Software Engineering  project  healing  c sharp (programming language)  matching  video game development  english language  c++  boolean data type  Writing computer-science software-development
Image Compression and Generation using Variational Autoencoders in Python,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/image-compression-generation-vae,"In this 1-hour long project, you will be introduced to the Variational Autoencoder. We will discuss some basic theory behind this model, and move on to creating a machine learning project based on this architecture. Our data comprises 60.000 characters from a dataset of fonts. We will train a variational autoencoder that will be capable of compressing this character font data from 2500 dimensions down to 32 dimensions. This same model will be able to then reconstruct its original input with high fidelity. The true advantage of the variational autoencoder is its ability to create new outputs that come from distributions that closely follow its training data: we can output characters in brand new fonts.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Autoencoder  Test Set  Studentized Residual  project  Python Programming  Computer Programming  mimics  image processing  use case  Machine Learning data-science machine-learning
Create a Memory Puzzle Game in Python Using Pygame,Coursera Project Network,Beginner,4.3,https://www.coursera.org/learn/create-memory-puzzle-game-in-python-using-pygame,"By the end of this project, you will create a memory puzzle game using python and pygame modules. Python is one of the easiest globally used programming languages, and using the pygame modules with it will give you a chance to easily implement many game applications. Pygame is an open free source that you can download later easily. You will learn about most of the objects and functions in the pygame that will help you to build your own game project. Also you will learn how to insert drawings, images and texts to your game.  Note: This project works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",mod (video gaming)  project  pygame  Graphic Design  logic  Python Programming  logic gate  Computer Programming  euler's totient function  c dynamic memory allocation computer-science software-development
